CrashID,CrashDate,CrashYear,CrashMonth,CrashHour,Latitude,Longitude,CrashSevr,CrashType,CrashTypGr,CrashAlcoh,NM_Type,NM_Age,NM_Sex,NM_Race,NM_Inj,NM_AlcDrg,NM_NumTot,NM_NumK,NM_NumA,NM_NumB,NM_NumC,NM_NumU,DrvrAge,DrvrSex,DrvrRace,DrvrVehTyp,SpeedLimit,RdClass,LightCond,Weather,County,City
106085083,2019-12-06,2019,December,9,35.961015,-78.96221,B: Suspected Minor Injury,Dash,Dash / Dart-Out,No,Pedestrian,22,Male,Black,B: Suspected Minor Injury,No,1,0,0,1,0,0,53,Female,White,Passenger Car,30 - 35 MPH,Local Street,Daylight,Cloudy,Durham,Durham
106087174,2019-12-02,2019,December,6,36.00159,-78.832407,B: Suspected Minor Injury,Play Vehicle-Related,Unusual Circumstances,No,Pedestrian,20,Male,Black,B: Suspected Minor Injury,No,1,0,0,1,0,0,38,Female,White,Sport Utility,30 - 35 MPH,Secondary Route,Dark - Roadway Not Lighted,Clear,Durham,Durham
106087207,2019-12-08,2019,December,21,35.982799,-78.900793,C: Possible Injury,Standing in Roadway,Pedestrian in Roadway - Circumstances Unknown,No,Pedestrian,39,Female,American Indian,C: Possible Injury,No,1,0,0,0,1,0,Not coded,Unknown,Unknown,Passenger Car,20 - 25 MPH,Local Street,Dark - Roadway Not Lighted,Rain,Durham,Durham
106093016,2019-12-12,2019,December,18,35.891972,-78.848044,A: Suspected Serious Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,54,Male,Other,A: Suspected Serious Injury,No,1,0,1,0,0,0,44,Male,Hispanic,Van,40 - 45 MPH,Interstate,Dark - Roadway Not Lighted,Clear,Durham,Durham
106108113,2019-12-25,2019,December,19,35.89848,-78.889003,C: Possible Injury,Disabled Vehicle-Related,Unusual Circumstances,No,Pedestrian,25,Female,Black,C: Possible Injury,No,1,0,0,0,1,0,Not coded,Unknown,Unknown,"Light Truck (Mini-Van, Panel)",30 - 35 MPH,Secondary Route,Dark - Lighted Roadway,Clear,Durham,Durham
106108682,2019-11-01,2019,November,23,35.957784,-78.877673,K: Killed,Walking Along Roadway Against Traffic - From Front,Walking Along Roadway,No,Pedestrian,33,Male,Black,K: Killed,"Yes - Other Drugs, Impairment Suspected",1,1,0,0,0,0,31,Male,Black,Van,30 - 35 MPH,Secondary Route,Dark - Roadway Not Lighted,Clear,Durham,Durham
106110483,2019-12-29,2019,December,23,36.029987,-78.927259,B: Suspected Minor Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,56,Male,Black,B: Suspected Minor Injury,Unknown,1,0,0,1,0,0,29,Female,White,Passenger Car,30 - 35 MPH,NC Route,Dark - Lighted Roadway,Rain,Durham,Durham
106111694,2019-12-13,2019,December,18,36.009173,-78.936764,B: Suspected Minor Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,37,Female,Black,B: Suspected Minor Injury,No,1,0,0,1,0,0,36,Female,White,Passenger Car,30 - 35 MPH,Local Street,Dark - Lighted Roadway,Rain,Durham,Durham
106111718,2019-12-30,2019,December,16,35.984332,-78.892126,B: Suspected Minor Injury,Dash,Dash / Dart-Out,No,Pedestrian,2,Female,Hispanic,B: Suspected Minor Injury,No,1,0,0,1,0,0,42,Male,Black,Passenger Car,30 - 35 MPH,Local Street,Daylight,Clear,Durham,Durham
106113393,2019-12-18,2019,December,18,35.887484,-78.898739,B: Suspected Minor Injury,Walking Along Roadway Against Traffic - From Front,Walking Along Roadway,No,Pedestrian,24,Female,White,B: Suspected Minor Injury,No,1,0,0,1,0,0,31,Female,White,Sport Utility,30 - 35 MPH,Secondary Route,Dark - Roadway Not Lighted,Clear,Durham,Durham
106116578,2020-01-06,2020,January,10,35.942491,-78.838738,C: Possible Injury,Motorist Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,37,Female,Black,C: Possible Injury,No,1,0,0,0,1,0,Not Coded,Unknown,Unknown,Sport Utility,Unknown,Secondary Route,Daylight,Clear,Durham,Durham
106118060,2019-12-31,2019,December,19,36.02927,-78.925906,C: Possible Injury,Motorist Right Turn - Perpendicular Paths,Crossing Roadway - Vehicle Turning,No,Pedestrian,57,Male,Black,C: Possible Injury,No,1,0,0,0,1,0,Not coded,Unknown,Unknown,Passenger Car,30 - 35 MPH,NC Route,Dark - Lighted Roadway,Clear,Durham,Durham
106121442,2020-01-10,2020,January,16,36.014157,-78.933208,C: Possible Injury,Other Unusual Circumstances,Unusual Circumstances,No,Pedestrian,26,Male,Black,C: Possible Injury,No,1,0,0,0,1,0,Not Coded,Unknown,Unknown,Passenger Car,Unknown,US Route,Daylight,Clear,Durham,Durham
106121590,2020-01-12,2020,January,21,35.990393,-78.892174,C: Possible Injury,Dart Out,Dash / Dart-Out,No,Pedestrian,14,Male,Black,C: Possible Injury,No,1,0,0,0,1,0,22,Male,Black,Passenger Car,Unknown,Local Street,Dark - Lighted Roadway,Cloudy,Durham,Durham
106123146,2020-01-13,2020,January,11,35.901257,-78.956698,O: No Injury,Motorist Right Turn - Perpendicular Paths,Crossing Roadway - Vehicle Turning,No,Pedestrian,21,Female,White,O: No Injury,No,1,0,0,0,0,0,Not Coded,Unknown,Unknown,Passenger Car,Unknown,Local Street,Dark - Roadway Not Lighted,Clear,Durham,Durham
106125674,2020-01-14,2020,January,19,36.035262,-78.891262,B: Suspected Minor Injury,Motorist Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,86,Male,White,B: Suspected Minor Injury,No,1,0,0,1,0,0,46,Male,Black,Sport Utility,30 - 35 MPH,Secondary Route,Daylight,Clear,Durham,Durham
106128810,2020-01-17,2020,January,21,36.037424,-78.872371,B: Suspected Minor Injury,Walking Along Roadway - Direction / Position Unknown,Walking Along Roadway,No,Pedestrian,61,Female,Black,B: Suspected Minor Injury,No,1,0,0,1,0,0,Not Coded,Unknown,Unknown,Passenger Car,Unknown,Secondary Route,Dark - Lighted Roadway,Clear,Durham,Durham
106128818,2020-01-19,2020,January,17,35.970927,-78.894794,C: Possible Injury,Motorist Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,23,Female,Black,C: Possible Injury,No,1,0,0,0,1,0,Not Coded,Unknown,Unknown,Passenger Car,Unknown,NC Route,Dusk,Clear,Durham,Durham
106135135,2020-01-24,2020,January,7,36.008016,-78.935073,B: Suspected Minor Injury,Motorist Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,56,Female,White,B: Suspected Minor Injury,No,1,0,0,1,0,0,23,Male,White,Pickup,30 - 35 MPH,Secondary Route,Daylight,Cloudy,Durham,Durham
106135286,2020-01-24,2020,January,23,36.003733,-78.900002,B: Suspected Minor Injury,Motorist Turn / Merge - Other / Unknown,Crossing Roadway - Vehicle Turning,No,Pedestrian,33,Female,Asian,B: Suspected Minor Injury,No,1,0,0,1,0,0,Not Coded,Unknown,Unknown,Passenger Car,Unknown,Local Street,Dark - Lighted Roadway,Rain,Durham,Durham
106135790,2020-01-24,2020,January,19,35.975969,-78.901082,B: Suspected Minor Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,20,Female,Black,B: Suspected Minor Injury,No,1,0,0,1,0,0,62,Female,Black,Passenger Car,30 - 35 MPH,Secondary Route,Dark - Lighted Roadway,Clear,Durham,Durham
106139425,2020-01-22,2020,January,10,36.009953,-78.920772,C: Possible Injury,Motorist Right Turn - Opposite Direction,Motorist Right Turn / Merge,No,Bicyclist,42,Female,White,C: Possible Injury,No,1,0,0,0,1,0,27,Female,White,Passenger Car,20 - 25 MPH,Local Street,Daylight,Clear,Durham,Durham
